"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
28,73,37,27,50,44,17,62,23,87,71,70,130,17,16,174,7,12,13,958,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,17,Female,Yes,Bristol  Connecticut,29
35,53,13,18,34,89,15,75,28,44,31,103,14,8,13,25,16,33,11,658,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,17,Female,Yes,Missouri  USA,31
27,25,13,23,23,40,17,73,49,25,29,35,21,8,11,13,13,17,12,474,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,15,Female,Yes,Georgia  US,28
25,19,14,13,15,45,12,58,11,29,19,35,12,6,11,12,8,10,18,372,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Tennessee  USA,42
36,41,16,14,25,77,11,90,20,153,25,147,43,6,12,66,10,13,5,810,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,18,Male,Yes,Missouri  USA,41
17,22,10,9,15,32,21,30,14,17,11,30,8,4,7,19,7,16,5,294,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,16,Male,Yes,grosse pointe  michigan  united states,27
25,23,11,12,15,69,22,56,13,18,18,57,11,5,15,29,8,11,11,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,California  USA,22
33,50,29,16,21,58,17,45,35,63,32,43,24,12,16,24,14,13,11,556,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,Male,No,Dalton High  Dalton  Ga.,53
19,21,11,10,17,47,13,34,17,22,12,29,14,4,15,22,6,19,9,341,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Male,No,port huron  michigan,45
30,96,17,41,24,97,16,39,9,24,9,75,10,10,20,21,27,16,9,590,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,13,Male,Yes,Franklin  NC,28
