,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
783,784,16,36,20,15,19,41,10,52,30,37,14,55,8,5,13,17,8,12,4,412,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,SC,29
784,785,18,12,12,10,15,31,10,118,11,20,10,34,78,5,9,9,5,6,5,418,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,TX,23
785,786,40,53,9,14,21,71,14,61,22,62,16,77,16,5,10,18,9,18,9,545,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Male,Yes,OH,34
786,787,26,144,90,38,84,186,65,120,41,74,31,83,50,15,34,146,16,34,17,1294,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,17,Female,Yes,PA,30
787,788,22,60,10,5,18,66,7,36,10,14,10,33,9,7,11,16,6,9,5,354,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,18,Female,No,CA,52
788,789,27,82,15,19,33,57,34,98,51,52,30,78,18,14,16,30,14,49,43,760,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,CA,33
789,790,36,27,13,11,22,52,19,56,15,63,22,36,12,20,21,21,8,17,9,480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,WA,41
790,791,30,14,9,11,12,38,10,43,12,17,12,30,11,7,11,12,9,9,103,400,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,ME,38
791,792,17,29,84,12,62,37,10,39,14,14,13,29,9,5,6,7,6,6,5,404,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,16,Female,No,AL,37
792,793,36,67,24,10,20,52,9,53,40,45,16,69,11,17,35,61,10,20,4,599,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,15,Female,Yes,NY,30
793,794,28,30,18,15,106,50,23,88,60,7,15,11,63,7,9,8,9,30,21,598,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,10,Male,Yes,MD,26
794,795,51,34,22,21,20,27,22,71,31,55,38,34,17,25,9,30,13,28,10,558,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,12,Female,No,FL,46
795,796,23,26,12,226,14,33,19,9,18,21,15,41,14,7,12,13,10,12,7,532,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,15,Male,Yes,AL,43
796,797,42,78,32,22,27,28,37,71,31,51,36,38,21,9,8,66,6,7,4,614,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,FL,28
797,798,37,50,16,15,25,36,36,73,46,48,15,59,27,11,16,39,13,37,8,607,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,17,Male,Yes,AK,33
798,799,20,19,8,10,15,37,11,61,13,21,14,30,9,4,9,12,6,15,6,320,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,WV,33
799,800,22,19,147,12,13,82,12,40,11,13,15,26,10,8,14,12,10,38,7,511,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,10,Male,Yes,LA,32
800,801,49,29,16,16,67,79,18,79,31,78,20,77,21,12,13,30,9,19,17,680,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,WA,52
801,802,31,40,14,21,18,76,23,85,41,31,21,65,24,7,17,20,10,15,14,573,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,Female,No,IL,49
802,803,65,39,13,11,30,81,10,81,149,52,17,107,14,5,46,19,13,16,10,778,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Female,Yes,NC,27
803,804,35,44,30,14,1769,163,49,80,15,412,20,75,43,5,8,20,13,28,7,2830,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,16,Female,Yes,TX,32
804,805,16,15,9,13,15,30,6,21,12,29,7,18,8,3,6,6,7,11,7,239,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Male,Yes,OH,26
